"service_type","source_month","count"
"green","2022-01","62280"
"yellow","2022-01","2449592"
"green","2022-02","69176"
"yellow","2022-02","2962189"
"green","2022-03","78303"
"yellow","2022-03","3605986"
"green","2022-04","75921"
"yellow","2022-04","3578638"
"green","2022-05","76704"
"yellow","2022-05","3566175"
"green","2022-06","73524"
"yellow","2022-06","3533695"
"green","2022-07","64022"
"yellow","2022-07","3151494"
"green","2022-08","65755"
"yellow","2022-08","3129135"
"green","2022-09","68836"
"yellow","2022-09","3162148"
"green","2022-10","69162"
"yellow","2022-10","3648074"
"green","2022-11","62124"
"yellow","2022-11","3226229"
"green","2022-12","72201"
"yellow","2022-12","3371985"
"green","2023-01","68028"
"yellow","2023-01","3041511"
"green","2023-02","64595"
"yellow","2023-02","2888724"
"green","2023-03","71837"
"yellow","2023-03","3373460"
"green","2023-04","65212"
"yellow","2023-04","3258301"
"green","2023-05","68995"
"yellow","2023-05","3481754"
"green","2023-06","65366"
"yellow","2023-06","3275986"
"green","2023-07","61167"
"yellow","2023-07","2876093"
"green","2023-08","60446"
"yellow","2023-08","2793121"
"green","2023-09","65225"
"yellow","2023-09","2817292"
"green","2023-10","65969"
"yellow","2023-10","3485183"
"green","2023-11","63820"
"yellow","2023-11","3302079"
"green","2023-12","64021"
"yellow","2023-12","3336650"
"green","2024-01","56364"
"yellow","2024-01","2929047"
"green","2024-02","53396"
"yellow","2024-02","2971425"
"green","2024-03","57250"
"yellow","2024-03","3538177"
"green","2024-04","56251"
"yellow","2024-04","3470461"
"green","2024-05","60768"
"yellow","2024-05","3674766"
"green","2024-06","54553"
"yellow","2024-06","3490340"
"green","2024-07","51632"
"yellow","2024-07","3026472"
"green","2024-08","51568"
"yellow","2024-08","2926183"
"green","2024-09","54245"
"yellow","2024-09","3576828"
"green","2024-10","55986"
"yellow","2024-10","3772266"
"green","2024-11","52060"
"yellow","2024-11","3584692"
"green","2024-12","53807"
"yellow","2024-12","3597742"
"green","2025-01","48131"
"yellow","2025-01","3412043"
"green","2025-02","46227"
"yellow","2025-02","3522240"
"green","2025-03","51060"
"yellow","2025-03","4076457"
"green","2025-04","51677"
"yellow","2025-04","3897775"
"green","2025-05","54956"
"yellow","2025-05","4479176"
"green","2025-06","48954"
"yellow","2025-06","4248453"
"green","2025-07","48061"
"yellow","2025-07","3822500"
"green","2025-08","46147"
"yellow","2025-08","3486133"
"green","2025-09","48741"
"yellow","2025-09","4172516"
"green","2025-10","49264"
"yellow","2025-10","4319949"
"green","2025-11","46746"
"yellow","2025-11","4053115"
